Country,Country Code,Year,Population,Avg_PM25_2021
Afghanistan,AFG,2021,40000412.0,37.5
Albania,ALB,2021,2489762.0,12.5
Algeria,DZA,2021,44761099.0,20.0
Andorra,AND,2021,78364.0,7.3
Angola,AGO,2021,34532429.0,11.0
Argentina,ARG,2021,45312281.0,9.34
Armenia,ARM,2021,2962300.0,35.3
Australia,AUS,2021,25685412.0,5.417757009345795
Austria,AUT,2021,8955797.0,10.709756097560977
Azerbaijan,AZE,2021,10137750.0,17.6
Bahrain,BHR,2021,1504365.0,49.8
Bangladesh,BGD,2021,167658854.0,47.86
Belgium,BEL,2021,11586195.0,11.552727272727273
Brazil,BRA,2021,209550294.0,12.781818181818181
Bulgaria,BGR,2021,6507301.0,15.575000000000001
Cambodia,KHM,2021,16974305.0,19.8
Canada,CAN,2021,38239864.0,8.167699115044249
Chad,TCD,2021,17828273.0,47.349999999999994
Chile,CHL,2021,19456334.0,18.581132075471697
China,CHN,2021,1412360000.0,29.7182
Colombia,COL,2021,51188173.0,12.875
Costa Rica,CRI,2021,5059988.0,7.8
Croatia,HRV,2021,3878981.0,13.277777777777779
Cyprus,CYP,2021,1317309.0,13.857142857142858
Denmark,DNK,2021,5856733.0,9.700000000000001
Ecuador,ECU,2021,17682454.0,6.300000000000001
Estonia,EST,2021,1330932.0,5.4375
Ethiopia,ETH,2021,122138588.0,15.6
Finland,FIN,2021,5541017.0,5.159090909090909
France,FRA,2021,67842811.0,9.405357142857142
Georgia,GEO,2021,3708610.0,23.166666666666668
Germany,DEU,2021,83196078.0,9.854
Ghana,GHA,2021,32518665.0,26.6
Greece,GRC,2021,10569207.0,17.787499999999998
Grenada,GRD,2021,116688.0,5.5
Guatemala,GTM,2021,17598650.0,18.8
Honduras,HND,2021,10289877.0,11.8
Hungary,HUN,2021,9630932.0,15.97391304347826
Iceland,ISL,2021,372520.0,5.15
India,IND,2021,1414203896.0,51.38515625
Indonesia,IDN,2021,276758053.0,18.9037037037037
Iraq,IRQ,2021,43071211.0,49.7
Ireland,IRL,2021,5110585.0,8.636842105263158
Israel,ISR,2021,9371400.0,18.769565217391303
Italy,ITA,2021,59133173.0,14.229310344827587
Japan,JPN,2021,125681593.0,8.908885542168674
Jordan,JOR,2021,11066356.0,16.5
Kazakhstan,KAZ,2021,19743603.0,29.225925925925928
Kenya,KEN,2021,53219166.0,14.3
Kosovo,XKX,2021,1786079.0,13.03076923076923
Kuwait,KWT,2021,4360865.0,29.549999999999997
Lebanon,LBN,2021,5718122.0,25.7
Liechtenstein,LIE,2021,39182.0,7.2
Lithuania,LTU,2021,2808380.0,10.6
Luxembourg,LUX,2021,640064.0,8.725
Madagascar,MDG,2021,29691083.0,18.1
Malaysia,MYS,2021,34282399.0,15.55
Malta,MLT,2021,518150.0,12.799999999999999
Mexico,MEX,2021,127648148.0,15.584444444444443
Mongolia,MNG,2021,3383741.0,15.128571428571428
Montenegro,MNE,2021,625053.0,35.2
Myanmar,MMR,2021,53387102.0,25.0
Nepal,NPL,2021,29475010.0,42.739999999999995
Netherlands,NLD,2021,17533044.0,11.353846153846153
New Caledonia,NCL,2021,285214.0,3.8
New Zealand,NZL,2021,5084600.0,8.557142857142857
Nigeria,NGA,2021,218529286.0,33.0
North Macedonia,MKD,2021,1837114.0,21.075
Norway,NOR,2021,5408320.0,7.5633333333333335
Oman,OMN,2021,4500424.0,53.9
Pakistan,PAK,2021,239477801.0,69.88888888888889
Peru,PER,2021,33155882.0,18.625
Philippines,PHL,2021,113100950.0,14.36
Poland,POL,2021,36981559.0,18.726666666666667
Portugal,PRT,2021,10361831.0,7.040000000000001
Qatar,QAT,2021,2504910.0,38.2
Romania,ROU,2021,19122059.0,16.430303030303033
Saudi Arabia,SAU,2021,30784383.0,30.225
Serbia,SRB,2021,6834326.0,28.358823529411765
Singapore,SGP,2021,5453566.0,13.8
Slovenia,SVN,2021,2108079.0,13.3
South Africa,ZAF,2021,61502603.0,19.193181818181817
Spain,ESP,2021,47443821.0,9.13358208955224
Sri Lanka,LKA,2021,22156000.0,15.049999999999999
Sudan,SDN,2021,48066924.0,44.1
Sweden,SWE,2021,10415811.0,6.624
Switzerland,CHE,2021,8704546.0,9.942105263157895
Tajikistan,TJK,2021,9966908.0,59.25
Thailand,THA,2021,71727332.0,22.28141592920354
Trinidad and Tobago,TTO,2021,1367558.0,6.633333333333333
Turkmenistan,TKM,2021,7092043.0,20.4
Uganda,UGA,2021,45910930.0,27.6
Ukraine,UKR,2021,44298640.0,17.26666666666667
United Arab Emirates,ARE,2021,9575152.0,35.349999999999994
United Kingdom,GBR,2021,66984000.0,8.294193548387096
Uruguay,URY,2021,3396695.0,14.2
Uzbekistan,UZB,2021,34243696.0,42.8
